full_word,sentence_word_index,total_word_index,score
peggotty,69,19437,0.9095252
peggotty,36,19478,0.91335577
em,8,19511,0.9500158
time,8,19657,0.7141878
gummidge,0,19777,0.96330184
peggotty,2,19779,0.963533
peggotty,2,19779,0.89812636
ham,47,19824,0.99521315
gummidge,0,19873,0.65651464
peggotty,26,19899,0.833628
gummidge,0,19903,0.70056534
gummidge,0,19954,0.9880686
peggotty,2,19978,0.96167165
gummidge,0,20013,0.98650557
gum,0,20054,0.5479238
gummidge,0,20091,0.98642826
peggotty,33,20124,0.890907
gummidge,0,20181,0.98196197
peggotty,38,20285,0.91369885
gummidge,0,20317,0.69791126
gummidge,0,20367,0.9574275
peggotty,5,20396,0.9062831
gummidge,0,20409,0.9381144
peggotty,0,20424,0.78120655
ham,0,20430,0.9854408
em,16,20446,0.9527679
gummidge,0,20461,0.9674663
peggotty,30,20491,0.90619785
gummidge,0,20520,0.9425184
peggotty,21,20541,0.8875332
peggotty,21,20541,0.9323959
peggotty,53,20633,0.885787
peggotty,38,20680,0.8383568
peggotty,17,20714,0.9209768
peggotty,36,20791,0.83974844
peggotty,3,20916,0.89303017
gummidge,0,21174,0.93902016
peggotty,7,21193,0.9208433
un,21,21207,0.73049575
gummidge,0,21258,0.98978907
peggotty,11,21269,0.9836879
gummidge,0,21258,0.9939887
ham,7,21320,0.9932801
un,32,21345,0.44643942
gummidge,0,21352,0.87820816
peggotty,20,21412,0.96934384
ham,33,21425,0.9940388
peggotty,9,21596,0.9172335
em,10,21610,0.69472677
peggotty,1,21833,0.9370973
peggotty,13,21939,0.91931725
davy,36,21962,0.91212577
peggotty,13,21939,0.9038253
davy,5,21980,0.8466295
peggotty,36,22011,0.8552861
davy,56,22089,0.66480607
davy,13,22127,0.978831
peggotty,17,22131,0.9745867
peggotty,2,22158,0.81439155
peggotty,2,22158,0.77905196
peggotty,20,22218,0.722533
peggotty,20,22218,0.78151745
peggotty,51,22303,0.9697065
peggotty,27,22341,0.96043724
peggotty,27,22341,0.88074183
davy,60,22374,0.94192785
peggotty,27,22341,0.95368856
peggotty,45,22462,0.90316314
peggotty,0,22473,0.9532604
peggotty,0,22473,0.9551726
murdstone,17,22564,0.99199647
clara,18,22584,0.87191254
murdstone,26,22592,0.9868911
peggotty,3,23126,0.81666213
davy,23,23146,0.79056174
davy,23,23146,0.6213332
davy,23,23146,0.63546336
peg,31,23274,0.5195529
peggotty,7,23331,0.76246667
peggotty,7,23331,0.74188167
copper,0,23368,0.8196916
davy,0,23432,0.9711104
peggotty,6,23438,0.9322435
peggotty,6,23438,0.8753252
murdstone,4,23527,0.9968147
clara,0,23549,0.96718097
edward,23,23572,0.9841346
clara,0,23549,0.9727183
murdstone,67,23735,0.99503917
david,70,23738,0.98470217
peggotty,9,23756,0.9598176
peggotty,9,23756,0.97197455
peggotty,6,23858,0.95246595
david,25,23964,0.8751862
clara,31,24253,0.60967296
god,9,24307,0.9848845
murdstone,3,24786,0.99538547
murdstone,16,24933,0.99057096
murdstone,34,24995,0.9824526
murdstone,39,25044,0.99250966
murdstone,39,25044,0.99043155
murdstone,9,25220,0.98658276
murdstone,8,25295,0.98900384
peggotty,0,25334,0.94909877
crow,18,25397,0.5856666
murdstone,16,25415,0.98879194
clara,42,25441,0.90199244
murdstone,4,25594,0.99639434
clara,40,25630,0.97367656
murdstone,4,25594,0.9960162
clara,40,25630,0.9685046
edward,71,25661,0.9802423
murdstone,4,25594,0.9911351
murdstone,2,25786,0.9900531
murdstone,2,25786,0.99414116
murdstone,57,25913,0.99604464
clara,60,25916,0.951947
edward,90,25946,0.868851
peggotty,14,25997,0.91953444
edward,33,26016,0.9801466
murdstone,38,26021,0.9805241
edward,17,26177,0.9779653
edward,17,26177,0.9809652
murdstone,50,26210,0.99337023
murdstone,7,26230,0.9845024
murdstone,6,26250,0.9926043
clara,26,26270,0.703887
edward,51,26381,0.8598641
edward,73,26496,0.9716926
peggo,1,26539,0.6242964
clara,23,26564,0.9608657
murdstone,29,26570,0.9950064
pray,6,26590,0.5773654
edward,19,26636,0.94375575
jane,0,26652,0.9792093
murdstone,27,26689,0.98610973
david,24,26782,0.8200145
peggotty,40,26845,0.9518836
murdstone,35,26890,0.9940727
murdstone,8,26927,0.9935662
murdstone,19,26963,0.98907954
murdstone,19,26963,0.9775691
murdstone,19,26963,0.9858925
murdstone,18,27077,0.9962186
murdstone,3,27166,0.9928661
murdstone,6,27218,0.98850316
murdstone,26,27319,0.9873503
murdstone,16,27350,0.94903654
murdstone,4,27509,0.99188185
murdstone,21,27566,0.99385613
murdstone,20,27875,0.99419314
murdstone,20,27875,0.955743
murdstone,2,28026,0.98701715
murdstone,1,28037,0.9688897
davy,27,28083,0.8583527
davy,27,28083,0.8754861
clara,35,28091,0.9845003
murdstone,41,28097,0.99173886
davy,8,28114,0.65064245
davy,8,28114,0.5755093
murdstone,22,28146,0.99273545
clara,46,28170,0.96465564
murdstone,22,28146,0.9887772
jane,91,28215,0.9270396
davy,2,28219,0.8774712
murdstone,11,28308,0.9962554
murdstone,11,28308,0.98983496
murdstone,2,28355,0.9953087
murdstone,1,28372,0.964823
murdstone,5,28532,0.99291754
clara,27,28554,0.92749655
murdstone,2,28569,0.99578804
murdstone,14,28638,0.99695903
murdstone,14,28638,0.98939687
murdstone,22,28823,0.978045
clara,54,28855,0.78573364
mr,42,29239,0.60775423
somebody,68,29366,0.5800888
strap,16,29550,0.99248296
tr,17,29551,0.45690188
pickle,47,29581,0.77347577
murdstone,20,29644,0.99003965
murdstone,20,29644,0.99617577
clara,67,29691,0.99459404
murdstone,20,29644,0.9842989
murdstone,20,29644,0.97159004
jane,102,29726,0.9804514
edward,121,29745,0.9945952
edward,121,29745,0.9944225
clara,67,29691,0.9836436
murdstone,20,29644,0.985127
jane,11,29791,0.8596289
murdstone,16,29815,0.9980461
david,29,29828,0.9001409
murdstone,12,30026,0.98453045
clara,30,30066,0.96213305
murdstone,35,30071,0.9647041
jane,51,30087,0.95041674
jane,25,30122,0.9436014
clara,31,30128,0.9756757
david,44,30141,0.99334186
clara,0,30152,0.9401462
david,0,30169,0.95994294
murdstone,1,30197,0.97876817
clara,5,30201,0.9249895
murdstone,45,30273,0.9969862
murdstone,45,30273,0.99414283
david,15,30332,0.89728713
murdstone,51,30701,0.98690504
murdstone,1,30862,0.98901874
murdstone,31,30962,0.9811657
murdstone,31,30962,0.9752965
murdstone,34,31063,0.98869544
peggo,22,31420,0.7010015
peggo,24,31497,0.929933
davy,34,31507,0.7507953
murdstone,63,31536,0.9940221
peggotty,11,31574,0.899745
peggo,11,31574,0.8648871
peggotty,5,31628,0.91928214
peggotty,62,31695,0.95576245
murdstone,76,31709,0.99132633
peggotty,62,31695,0.876503
mama,116,31749,0.8557479
peggotty,62,31695,0.9304083
peggotty,62,31695,0.8950651
davy,185,31818,0.7078093
davy,0,31881,0.786981
peggotty,14,31904,0.83186847
peggotty,14,31904,0.81214947
davy,12,31958,0.9241157
peggotty,6,31997,0.7475056
peggotty,12,32034,0.9088864
peggo,12,32034,0.8082022
peggo,12,32034,0.8164922
peggotty,7,32085,0.9756717
em,20,32115,0.75786036
peggo,7,32135,0.69178927
murdstone,4,32290,0.985459
davy,32,32372,0.7536972
davy,32,32372,0.60579383
murdstone,16,32492,0.99275094
copperfield,29,32505,0.91515064
murdstone,16,32492,0.9833135
peggotty,3,32527,0.981056
murdstone,16,32540,0.9779516
clara,14,32569,0.9577589
murdstone,19,32574,0.97488827
jane,31,32586,0.96752733
davy,43,32598,0.65686965
clara,16,32631,0.9736892
murdstone,20,32635,0.9880032
jane,28,32643,0.9769713
god,0,32664,0.991995
clara,6,32670,0.95064175
murdstone,10,32674,0.98756903
murdstone,1,32678,0.94424886
peggotty,14,32776,0.90233177
peggotty,5,32831,0.9352967
peggotty,20,33118,0.8557628
davy,32,33163,0.55930233
barkis,163,33414,0.9618752
barkis,163,33414,0.8762554
barkis,163,33414,0.8269112
barkis,22,33572,0.9534286
barkis,25,33643,0.8828258
barkis,25,33643,0.9130355
peg,70,33688,0.7690009
barkis,19,33726,0.9590105
barkis,36,33764,0.932929
barkis,11,33811,0.9633384
barkis,11,33811,0.95324373
barkis,11,33811,0.8299619
barkis,0,33918,0.8775773
barkis,0,33918,0.9873886
barkis,0,33918,0.8208426
peggotty,31,34047,0.8975971
peggotty,31,34047,0.8315157
barkis,0,34064,0.78737485
mama,3,34071,0.8205641
barkis,10,34090,0.9848056
barkis,10,34090,0.9659067
peggotty,46,34185,0.9532749
barkis,18,34259,0.9809576
copperfield,107,34348,0.9595524
murdstone,147,34388,0.9591584
murdstone,147,34388,0.9046233
william,203,34444,0.9698601
topsawyer,73,34910,0.94885844
lord,44,35284,0.6258977
peggotty,25,35659,0.8986717
lord,49,35747,0.661065
george,25,36324,0.9737834
peggotty,13,36906,0.8460553
murdstone,47,36940,0.9617927
murdstone,12,37968,0.9974892
peggotty,40,38080,0.60989976
murdstone,22,38245,0.99009436
charley,27,39016,0.38960186
fi,0,39092,0.8580077
fibbitson,0,39965,0.8942623
mell,77,40347,0.89087254
mell,32,40394,0.9780928
mell,14,40497,0.85891795
creakle,3,40533,0.99787253
creakle,3,40533,0.9890408
mell,2,40812,0.90384674
mell,11,40921,0.98964334
copperfield,101,41011,0.9439986
copperfield,4,41037,0.7056938
copperfield,43,41218,0.90614235
j,12,41422,0.46957767
steerforth,0,41424,0.9780061
tommy,6,41463,0.97830266
mell,38,41537,0.98070955
mell,39,41735,0.9882904
murdstone,53,41749,0.9965804
mell,67,41852,0.9924783
mell,12,41890,0.9781188
mell,15,41921,0.9473149
mell,28,42038,0.98488015
mr,16,42063,0.73760974
mell,18,42065,0.94672346
peggotty,26,42123,0.95156837
creakle,40,42215,0.8941176
mell,2,42248,0.9650357
creakle,47,42380,0.9895832
mell,20,42405,0.963029
mell,8,42483,0.89540243
creakle,12,42487,0.9945647
creakle,2,42528,0.9961111
creakle,29,42618,0.9923447
creakle,0,42641,0.9832916
creakle,0,42641,0.9860525
creakle,0,42641,0.995936
creakle,0,42641,0.9950054
creakle,0,42641,0.99098724
creakle,0,42641,0.9913872
creakle,2,42769,0.99077386
creakle,64,42932,0.9917128
creakle,64,42932,0.9819174
creakle,6,42985,0.9981926
creakle,6,42985,0.99753636
creakle,6,42985,0.9968195
creakle,6,43106,0.95782787
creakle,6,43140,0.9248517
creakle,16,43183,0.99600905
creakle,34,43242,0.9954393
creakle,34,43242,0.99018675
creakle,34,43242,0.99250644
creakle,36,43454,0.9876136
creakle,11,43481,0.9964139
creakle,19,43540,0.9772434
creakle,41,43601,0.97481227
creakle,41,43601,0.96466464
sharp,4,43772,0.99803895
sharp,2,43778,0.9991172
mell,13,43789,0.9093709
mell,2,43793,0.96191967
sharp,13,43804,0.9995498
creakle,20,43811,0.9945855
sharp,39,43897,0.997924
tommy,5,43913,0.99802434
j,15,44190,0.896905
copper,50,44285,0.6325709
peggotty,23,44362,0.91379696
steerforth,72,44411,0.99825424
steerforth,72,44411,0.9980515
steerforth,72,44411,0.99760604
steerforth,72,44411,0.9976249
copperfield,224,44563,0.81278586
steerforth,72,44411,0.99541545
copperfield,35,44772,0.81718564
steerforth,60,44977,0.9526644
traddles,162,45079,0.7893954
creakle,5,45109,0.99014574
j,16,45180,0.9491685
steerforth,0,45182,0.9799518
creakle,0,45232,0.97647685
tungay,13,45266,0.9833952
creakle,38,45291,0.9936323
creakle,38,45291,0.9935023
creakle,10,45343,0.9949438
tungay,12,45345,0.9779443
creakle,5,45380,0.99584293
tungay,14,45389,0.9839922
creakle,5,45445,0.99641657
creakle,5,45445,0.98930615
creakle,10,45483,0.99528426
j,34,45507,0.80945516
steerforth,0,45511,0.99394554
sharp,5,45626,0.9997905
mell,9,45630,0.9826022
creakle,32,45653,0.9945801
sharp,5,45626,0.9998023
j,54,45675,0.88516045
steerforth,0,45677,0.7905294
sharp,5,45690,0.99871683
creakle,4,45814,0.9949809
steerforth,17,45827,0.97711563
mell,5,45873,0.95485914
mell,0,45903,0.94971144
steerforth,51,46018,0.99667776
steerforth,51,46018,0.99788475
steerforth,51,46018,0.99729
creakle,27,46290,0.9946706
tungay,0,46316,0.97828305
creakle,5,46321,0.97898513
creakle,2,46356,0.985737
tungay,9,46363,0.97037476
tungay,17,46462,0.99086994
creakle,25,46470,0.97683024
steerforth,28,46578,0.9806868
creakle,27,46635,0.9967634
creakle,18,46709,0.9970768
creakle,2,47146,0.98343664
creakle,8,47269,0.9844317
steerforth,12,47400,0.9589838
creakle,25,47464,0.99087477
traddles,1,47471,0.7550948
steerforth,13,47698,0.9580201
steerforth,0,47779,0.9964354
tr,20,47821,0.49072567
steerforth,2,47838,0.9909284
creakle,16,47852,0.9700181
steerforth,1,47919,0.9698181
sharp,2,47955,0.9994885
mell,6,47959,0.9799995
steerforth,16,47969,0.8697182
steerforth,0,47981,0.9471636
creakle,21,48029,0.9899214
creakle,16,48105,0.9962051
steerforth,7,48165,0.99162006
steerforth,36,48297,0.9991267
steerforth,36,48297,0.9980235
steer,43,48527,0.56214976
steerforth,52,48588,0.98382694
steerforth,0,48688,0.98114944
peggotty,0,48724,0.94953054
steerforth,14,48784,0.9502156
copperfield,33,48803,0.7422836
pere,11,49031,0.51855016
traddles,1,49068,0.91317004
creakle,73,49215,0.99444205
steerforth,6,49414,0.9775739
mell,9,49478,0.88907087
steerforth,8,49501,0.9621289
steerforth,15,49540,0.9926819
mell,47,49572,0.9875342
steerforth,15,49540,0.98976356
creakle,5,49681,0.9940291
tungay,19,49734,0.61244273
creakle,12,49816,0.989837
sharp,11,49864,0.99869895
mell,23,49876,0.9671945
mell,19,49912,0.9474065
mell,94,50088,0.9392433
steerforth,0,50180,0.9707223
mell,22,50223,0.9966043
mell,22,50223,0.9897481
steerforth,47,50248,0.9983425
mell,22,50223,0.99328524
steerforth,47,50248,0.99803615
mell,22,50223,0.9943241
steerforth,47,50248,0.9973615
mell,22,50223,0.9955369
steerforth,47,50248,0.9274193
mell,22,50223,0.99611574
steerforth,47,50248,0.9939369
mell,22,50223,0.9875227
steerforth,47,50248,0.99393266
j,8,50528,0.84923345
tr,8,50538,0.62063473
mell,13,50543,0.98494005
mell,13,50543,0.977309
copper,0,50631,0.6232991
steerforth,12,50643,0.9872539
mell,7,50663,0.97738296
mell,34,50727,0.9449864
mell,34,50727,0.920545
creakle,22,50771,0.9910238
tungay,30,50779,0.992155
creakle,22,50771,0.97761947
mell,2,50803,0.9879774
mell,2,50803,0.99434924
creakle,35,50836,0.99459434
tungay,52,50853,0.98541284
creakle,14,50921,0.99697274
creakle,18,50957,0.98801297
creakle,12,50990,0.99193025
mell,19,50997,0.95759666
tungay,25,51003,0.9876756
mell,7,51031,0.9913089
creakle,34,51058,0.9960594
steerforth,37,51061,0.99056596
steerforth,37,51061,0.99563754
mell,29,51137,0.988879
steerforth,49,51157,0.99689853
creakle,60,51168,0.9972472
steerforth,49,51157,0.9963984
creakle,60,51168,0.9970894
creakle,60,51168,0.99688816
creakle,60,51168,0.97231275
creakle,60,51168,0.9808658
creakle,9,51353,0.99472475
mell,54,51398,0.97277474
steerforth,72,51416,0.98531437
steerforth,30,51532,0.9614229
creakle,44,51546,0.99835855
steerforth,30,51532,0.94353247
steerforth,30,51532,0.99261343
creakle,44,51546,0.99533033
steerforth,8,51621,0.9895129
mell,14,51627,0.9861109
creakle,38,51651,0.9889755
steerforth,8,51621,0.9936979
steerforth,8,51621,0.981478
creakle,38,51651,0.9847372
steerforth,8,51621,0.99299216
mell,14,51627,0.98694956
mell,18,51758,0.9438911
steerforth,25,51765,0.96106446
creakle,24,51791,0.99717045
steerforth,32,51799,0.9980287
mell,66,51833,0.997731
creakle,24,51791,0.99445677
mell,66,51833,0.9832922
mell,32,51932,0.9851971
creakle,67,51967,0.99896437
creakle,67,51967,0.99747425
creakle,67,51967,0.9964247
mell,2,52111,0.9154458
mell,16,52138,0.9918221
creakle,36,52158,0.99270827
creakle,36,52158,0.99044985
mell,16,52138,0.99399066
creakle,2,52300,0.9983581
tungay,9,52307,0.9718814
steerforth,15,52313,0.98756206
steerforth,15,52313,0.98674893
steerforth,15,52313,0.9899595
creakle,2,52376,0.98913383
tommy,5,52379,0.9929012
mell,22,52396,0.9913702
steerforth,35,52473,0.96086144
mell,2,52578,0.9738147
steerforth,21,52597,0.99185586
tr,31,52607,0.72866046
steerforth,21,52597,0.9864066
tr,31,52607,0.71548384
steerforth,21,52597,0.9833879
tr,8,52675,0.5041838
polly,0,52716,0.97146183
mell,21,52836,0.96863437
steerforth,42,52857,0.82174236
steerforth,8,52891,0.9899153
steerforth,0,52959,0.93768066
mell,48,53021,0.9718597
creakle,18,53079,0.99219626
tungay,25,53086,0.993725
creakle,18,53079,0.99543124
murdstone,55,53239,0.9945574
peggotty,29,53293,0.7977824
ham,31,53295,0.9923437
peggotty,2,53367,0.947428
ham,30,53395,0.998451
ham,30,53395,0.99771935
davy,31,53473,0.86434835
ham,8,53485,0.98146284
peggotty,21,53498,0.8492338
mama,31,53531,0.9543773
peggotty,36,53536,0.8828177
peggotty,36,53536,0.86087817
peggotty,36,53536,0.86633253
peggotty,13,53587,0.85690576
peggotty,2,53596,0.9928169
ham,36,53630,0.9941791
peggotty,2,53596,0.98231786
peggotty,6,53693,0.9257813
peggotty,21,53739,0.93906564
ham,26,53744,0.994228
davy,39,53829,0.9757119
em,1,53857,0.9677319
peggotty,58,53914,0.8624155
peggotty,64,53992,0.98513633
ham,73,54001,0.998338
peggotty,64,53992,0.96500856
ham,73,54001,0.9963726
peggotty,64,53992,0.9750902
peggotty,64,53992,0.9415124
ham,0,54184,0.9702238
steerforth,24,54216,0.9966265
steerforth,16,54290,0.9772183
peggotty,37,54311,0.9685243
steerforth,30,54354,0.5538297
steerforth,38,54398,0.97647023
peggotty,41,54567,0.9659707
steerforth,57,54583,0.9987093
steerforth,57,54583,0.9974365
steerforth,57,54583,0.99840504
peggotty,41,54567,0.9584317
steerforth,8,54687,0.65181327
steerforth,22,54711,0.99093044
ham,58,54747,0.9986125
davy,80,54769,0.8436294
n,41,54730,0.5661969
peggotty,22,54806,0.9320348
peggotty,22,54806,0.9297164
steerforth,107,54891,0.9743905
peggotty,28,54921,0.80345565
mas,27,55013,0.7779545
davy,30,55016,0.97505254
peggotty,16,55037,0.94480044
ham,70,55091,0.9951481
steerforth,8,55114,0.9901759
pretty,10,55116,0.54990226
peggotty,20,55162,0.9659702
peggotty,13,55195,0.9443453
demple,35,55275,0.99841785
steer,35,55536,0.6443827
creakle,33,55666,0.9787554
barkis,2,55788,0.97790855
barkis,38,55909,0.9311708
barkis,2,55925,0.9161861
barkis,2,55925,0.8330816
peggotty,56,55979,0.92056876
barkis,2,55925,0.856091
barkis,2,55993,0.9401498
barkis,2,55993,0.9720031
barkis,2,55993,0.9050915
barkis,2,55993,0.9063157
barkis,2,55993,0.9440019
barkis,2,55993,0.9495108
barkis,24,56150,0.9330186
barkis,24,56150,0.9090779
barkis,24,56150,0.91901624
barkis,24,56150,0.8453328
barkis,24,56150,0.9109129
barkis,34,56305,0.9746059
barkis,34,56305,0.97820795
barkis,34,56305,0.9668819
barkis,22,56370,0.9584278
peggotty,32,56380,0.7405584
chris,36,56384,0.66223806
barkis,10,56397,0.9816808
