full_word,sentence_word_index,total_word_index
Jane,11,29063
David,27,29098
Mr. Murdstone,14,29085
Clara,0,29417
David,0,29434
Clara,5,29466
Peggotty,27,29731
Miss Murdstone,50,29954
Peggotty,27,30802
Murdstone,3,30778
How,22,30797
Peggotty,5,30869
Davy,19,31056
Davy,0,31115
Davy,11,31190
Peggotty,6,31227
Peggotty,24,31273
Peggotty,45,31294
Peggotty,5,31254
Em’ly,9,31305
Peggotty,12,31401
Master Copperfield,28,31715
Miss Murdstone,15,31702
Miss Murdstone,36,31723
Peggotty,3,31737
Murdstone,15,31749
God,0,31873
Clara,6,31879
Peggotty,14,31985
Peggotty,5,32040
Peggotty,20,32326
Near London,51,32509
Barkis,21,32768
Peggotty,6,32878
Barkis,17,32914
Barkis,0,33096
Mr. Barkis,16,33112
Barkis,17,33113
Barkis,26,33175
Em’ly,7,33364
Topsawyer,33,34356
Peggotty,25,34781
Mr. Murdstone,45,36019
Peggotty,13,35987
I,0,36347
Murdstone,36,36607
Sooffolk,41,36612
Murdstone,11,37037
David Copperfield,28,38869
Fibbitson,0,38999
Mell,23,39373
Mr. Mell,22,39372
Mr. Mell,29,39416
Creakle,2,39554
Creakle,18,39570
